age,workclass,fnlwgt,education_num,marital_status,relationship,race,sex,capital_gain,capital_loss,hours_per_week,income,education_level,occupation_grouped,native_region,age_group
42,private,209370,9,divorced or separated,single,white,female,0,0,30,<=50k,secondary-school graduate,white collar,north america,36-45
34,private,33117,10,married,male spouse,white,male,0,0,40,<=50k,some college,service,north america,26-35
23,private,129042,9,single,single,black,female,0,0,40,<=50k,secondary-school graduate,blue collar,north america,18-25
56,private,169133,9,married,male spouse,white,male,0,0,50,<=50k,secondary-school graduate,service,europe,46-60
30,private,201624,13,single,single,black,male,0,0,45,<=50k,tertiary,white collar,other,26-35
45,private,368561,9,married,male spouse,white,male,0,0,55,>50k,secondary-school graduate,white collar,north america,36-45
48,private,207848,6,married,female spouse,white,female,0,0,40,<=50k,secondary,white collar,north america,46-60
48,self-employed,138370,14,married or separated,single,asian or pacific islander,male,0,0,50,<=50k,tertiary,white collar,asia,46-60
31,private,93106,11,single,single,white,female,0,0,40,<=50k,associate,white collar,north america,26-35
20,government,223515,12,single,child,white,male,0,1719,20,<=50k,associate,service,north america,18-25
27,private,389713,10,single,single,white,male,0,0,40,<=50k,some college,white collar,north america,26-35
32,private,206365,9,single,single,black,female,0,0,40,<=50k,secondary-school graduate,service,north america,26-35
76,unknown,431192,4,widowed,single,white,male,0,0,2,<=50k,primary,unknown,north america,76+
19,unknown,241616,9,single,single,white,male,0,2001,40,<=50k,secondary-school graduate,unknown,north america,18-25
66,self-employed,150726,5,married,male spouse,white,male,1409,0,1,<=50k,secondary,white collar,other,61-75
37,private,123785,9,single,single,white,male,0,0,75,<=50k,secondary-school graduate,service,north america,36-45
34,private,289984,9,divorced or separated,single,black,female,0,0,30,<=50k,secondary-school graduate,service,north america,26-35
34,unknown,164309,7,married,female spouse,white,female,0,0,8,<=50k,secondary,unknown,north america,26-35
90,private,137018,9,single,single,white,female,0,0,40,<=50k,secondary-school graduate,service,north america,76+
23,private,137994,10,single,child,black,female,0,0,40,<=50k,some college,blue collar,north america,18-25
43,private,341204,10,divorced or separated,single,white,female,0,0,40,<=50k,some college,white collar,north america,36-45
44,private,167005,13,married,male spouse,white,male,7688,0,60,>50k,tertiary,white collar,north america,36-45
24,private,34446,10,single,single,white,female,0,0,37,<=50k,some college,white collar,north america,18-25
28,private,187160,15,divorced or separated,single,white,male,0,0,55,<=50k,tertiary,white collar,north america,26-35
64,unknown,196288,12,single,single,white,female,0,0,20,<=50k,associate,unknown,north america,61-75
23,private,217961,10,married,male spouse,white,male,0,0,40,<=50k,some college,service,north america,18-25
20,private,74631,10,single,single,white,female,0,0,50,<=50k,some college,white collar,north america,18-25
36,private,156667,13,married,male spouse,white,male,0,1902,50,>50k,tertiary,white collar,north america,36-45
61,private,125155,9,married,male spouse,white,male,0,0,40,<=50k,secondary-school graduate,blue collar,north america,61-75
53,self-employed,263925,13,married,male spouse,white,male,0,0,40,>50k,tertiary,white collar,north america,46-60
30,private,296453,13,married,male spouse,white,male,7298,0,40,>50k,tertiary,white collar,north america,26-35
52,self-employed,44728,10,married,male spouse,white,male,0,0,55,>50k,some college,white collar,north america,46-60
38,private,193026,10,divorced or separated,single,white,male,0,0,40,<=50k,some college,blue collar,asia,36-45
32,private,87643,13,married,male spouse,white,male,0,0,40,<=50k,tertiary,white collar,north america,26-35
30,self-employed,106742,8,married,male spouse,white,male,0,0,75,<=50k,secondary,blue collar,north america,26-35
41,private,302122,11,divorced or separated,single,white,female,0,0,40,<=50k,associate,blue collar,north america,36-45
49,government,193960,14,married,male spouse,white,male,0,1902,40,>50k,tertiary,white collar,north america,46-60
45,private,185385,9,married,male spouse,white,male,0,0,47,>50k,secondary-school graduate,blue collar,north america,36-45
43,self-employed,277647,9,married,male spouse,white,male,0,0,35,<=50k,secondary-school graduate,white collar,north america,36-45
61,private,128848,9,married,male spouse,white,male,3471,0,40,<=50k,secondary-school graduate,blue collar,north america,61-75
54,private,377701,9,married,male spouse,white,male,0,0,32,<=50k,secondary-school graduate,service,north america,46-60
34,private,157886,12,divorced or separated,single,white,female,0,0,40,<=50k,associate,service,north america,26-35
49,private,175958,10,married,male spouse,white,male,0,0,80,>50k,some college,white collar,north america,46-60
38,private,223004,10,single,child,white,male,0,0,40,<=50k,some college,service,north america,36-45
35,private,199352,15,married,male spouse,white,male,0,1977,80,>50k,tertiary,white collar,north america,26-35
36,private,29984,8,married,male spouse,white,male,0,0,40,<=50k,secondary,blue collar,north america,36-45
30,private,181651,13,married,male spouse,white,male,0,0,50,<=50k,tertiary,white collar,north america,26-35
36,private,117312,12,divorced or separated,single,white,female,0,0,60,<=50k,associate,white collar,north america,36-45
22,government,34029,13,single,child,white,female,0,0,20,<=50k,tertiary,white collar,north america,18-25
38,private,132879,9,married,male spouse,white,male,0,1902,40,>50k,secondary-school graduate,blue collar,north america,36-45
37,private,215310,9,married,male spouse,white,male,0,0,50,>50k,secondary-school graduate,blue collar,north america,36-45
48,government,55863,16,married,female spouse,white,female,0,1902,46,>50k,tertiary,white collar,north america,46-60
17,private,220384,7,single,child,white,male,0,0,15,<=50k,secondary,white collar,north america,<18
19,self-employed,36012,10,single,child,white,male,0,0,20,<=50k,some college,blue collar,north america,18-25
27,private,137645,13,single,single,black,female,0,1590,40,<=50k,tertiary,white collar,north america,26-35
22,private,191342,13,single,child,asian or pacific islander,male,0,0,50,<=50k,tertiary,white collar,asia,18-25
49,private,31339,9,married,male spouse,white,male,0,0,40,<=50k,secondary-school graduate,blue collar,north america,46-60
43,government,227910,11,married,female spouse,white,female,0,0,40,>50k,associate,white collar,north america,36-45
43,private,173728,13,divorced or separated,single,white,female,0,0,40,<=50k,tertiary,white collar,north america,36-45
19,government,167816,9,divorced or separated,single,white,female,0,0,35,<=50k,secondary-school graduate,white collar,north america,18-25
58,self-employed,81642,9,married,male spouse,white,male,0,0,60,<=50k,secondary-school graduate,blue collar,north america,46-60
41,government,195258,10,married,male spouse,white,male,0,0,40,>50k,some college,service,north america,36-45
31,private,232475,10,married,male spouse,white,male,0,0,40,<=50k,some college,white collar,north america,26-35
30,private,241259,11,married,male spouse,white,male,0,0,40,<=50k,associate,blue collar,north america,26-35
32,private,118161,9,married,male spouse,white,male,0,0,40,<=50k,secondary-school graduate,service,north america,26-35
29,private,201954,13,single,single,white,male,0,0,35,<=50k,tertiary,white collar,north america,26-35
42,private,150533,10,married,male spouse,white,male,7298,0,52,>50k,some college,white collar,north america,36-45
38,private,412296,9,divorced or separated,child,white,male,0,0,28,<=50k,secondary-school graduate,blue collar,north america,36-45
41,government,133060,12,married,male spouse,white,male,0,0,40,>50k,associate,white collar,north america,36-45
44,self-employed,120539,13,single,single,white,male,0,0,50,>50k,tertiary,white collar,north america,36-45
31,private,196025,16,married or separated,single,asian or pacific islander,male,0,0,60,<=50k,tertiary,white collar,asia,26-35
34,private,107793,9,divorced or separated,single,white,male,0,0,40,<=50k,secondary-school graduate,blue collar,north america,26-35
21,private,163870,10,single,child,white,male,0,0,40,<=50k,some college,white collar,north america,18-25
22,self-employed,361280,13,single,child,asian or pacific islander,male,0,0,20,<=50k,tertiary,white collar,asia,18-25
62,private,92178,6,married,male spouse,white,male,0,0,40,<=50k,secondary,blue collar,north america,61-75
19,unknown,80710,9,single,child,white,female,0,0,40,<=50k,secondary-school graduate,unknown,north america,18-25
29,self-employed,260729,9,married,female spouse,white,female,0,1977,25,>50k,secondary-school graduate,white collar,north america,26-35
43,private,182254,10,divorced or separated,single,white,female,0,0,40,<=50k,some college,white collar,north america,36-45
68,unknown,140282,4,married,male spouse,white,male,0,0,8,<=50k,primary,unknown,north america,61-75
45,self-employed,149865,13,married,male spouse,white,male,0,0,60,>50k,tertiary,blue collar,north america,36-45
39,self-employed,218184,5,married,male spouse,white,male,0,1651,40,<=50k,secondary,white collar,north america,36-45
41,private,118619,13,married,male spouse,black,male,0,0,50,<=50k,tertiary,white collar,north america,36-45
34,self-employed,196791,12,married,female spouse,white,female,0,0,25,>50k,associate,white collar,north america,26-35
34,government,167999,9,divorced or separated,single,white,female,0,0,33,<=50k,secondary-school graduate,white collar,north america,26-35
31,private,51259,13,single,single,white,male,0,0,47,<=50k,tertiary,white collar,north america,26-35
29,private,131088,9,single,child,white,male,0,0,25,<=50k,secondary-school graduate,blue collar,north america,26-35
41,private,118212,13,married,male spouse,white,male,3103,0,40,>50k,tertiary,blue collar,north america,36-45
41,private,293791,11,married,male spouse,white,male,0,0,55,<=50k,associate,blue collar,north america,36-45
35,self-employed,289430,14,married,male spouse,white,male,0,0,45,>50k,tertiary,white collar,north america,26-35
33,private,35378,13,married,female spouse,white,female,0,0,45,>50k,tertiary,white collar,north america,26-35
37,government,60227,13,single,single,white,male,0,0,38,<=50k,tertiary,white collar,north america,36-45
69,private,168139,9,married,female spouse,white,female,0,0,40,<=50k,secondary-school graduate,white collar,north america,61-75
34,private,290763,9,divorced or separated,child,white,female,0,0,40,<=50k,secondary-school graduate,blue collar,north america,26-35
60,self-employed,226355,11,married,male spouse,white,male,0,2415,70,>50k,associate,blue collar,other,46-60
36,private,51100,10,married,male spouse,white,male,0,0,40,<=50k,some college,blue collar,north america,36-45
41,private,227644,9,married,male spouse,white,male,0,0,50,<=50k,secondary-school graduate,blue collar,north america,36-45
58,government,205267,13,married,female spouse,white,female,0,0,40,>50k,tertiary,white collar,north america,46-60
53,private,288020,13,married,male spouse,asian or pacific islander,male,0,0,40,<=50k,tertiary,white collar,asia,46-60
29,private,140863,10,married,male spouse,white,male,0,0,40,<=50k,some college,white collar,north america,26-35
45,government,170915,9,divorced or separated,single,white,female,4865,0,40,<=50k,secondary-school graduate,white collar,north america,36-45
34,government,50178,10,married,male spouse,white,male,0,0,38,<=50k,some college,white collar,north america,26-35
36,private,112497,13,married,male spouse,white,male,0,0,40,<=50k,tertiary,white collar,north america,36-45
48,private,95244,10,divorced or separated,single,black,female,0,0,35,<=50k,some college,service,north america,46-60
20,private,117606,11,single,child,white,female,0,0,40,<=50k,associate,white collar,north america,18-25
35,private,89508,9,married,male spouse,white,male,0,0,50,>50k,secondary-school graduate,blue collar,north america,26-35
63,government,124244,9,widowed,single,black,male,0,0,40,<=50k,secondary-school graduate,blue collar,north america,61-75
41,self-employed,154374,10,divorced or separated,single,white,male,0,0,45,<=50k,some college,service,north america,36-45
28,private,294936,13,married,male spouse,white,male,0,0,45,<=50k,tertiary,white collar,north america,26-35
30,private,347132,10,single,single,black,female,0,0,40,<=50k,some college,blue collar,north america,26-35
34,unknown,181934,9,divorced or separated,single,white,female,0,0,40,<=50k,secondary-school graduate,unknown,north america,26-35
31,private,316672,9,single,single,white,female,0,0,40,<=50k,secondary-school graduate,service,north america,26-35
37,private,189382,11,single,child,white,female,0,0,38,<=50k,associate,white collar,north america,36-45
42,unknown,184018,10,divorced or separated,single,white,male,0,0,40,<=50k,some college,unknown,north america,36-45
31,private,184307,10,married,male spouse,white,male,0,0,50,>50k,some college,white collar,central america,26-35
46,self-employed,246212,14,married,male spouse,white,male,0,0,45,>50k,tertiary,white collar,north america,46-60
35,government,250504,9,married,male spouse,black,male,0,0,60,>50k,secondary-school graduate,white collar,north america,26-35
27,private,138705,9,married,male spouse,white,male,0,0,53,<=50k,secondary-school graduate,blue collar,north america,26-35
41,private,328447,2,married,male spouse,white,male,0,0,35,<=50k,primary,blue collar,north america,36-45
19,private,194608,10,single,child,white,female,0,0,20,<=50k,some college,service,north america,18-25
20,private,230891,10,single,single,white,male,0,0,45,<=50k,some college,white collar,north america,18-25
59,government,212448,9,widowed,single,white,female,0,0,40,<=50k,secondary-school graduate,white collar,europe,46-60
40,private,214010,13,single,single,white,male,0,0,37,<=50k,tertiary,service,north america,36-45
56,self-employed,200235,10,married,male spouse,white,male,0,0,60,<=50k,some college,white collar,north america,46-60
33,private,354573,14,married,male spouse,white,male,15024,0,44,>50k,tertiary,white collar,north america,26-35
30,self-employed,205733,10,single,single,white,female,0,0,60,<=50k,some college,white collar,north america,26-35
46,private,185041,9,married,male spouse,white,male,0,0,50,<=50k,secondary-school graduate,blue collar,north america,46-60
61,self-employed,84409,9,married,male spouse,white,male,0,0,35,>50k,secondary-school graduate,white collar,north america,61-75
50,self-employed,293196,9,married,male spouse,white,male,7298,0,40,>50k,secondary-school graduate,white collar,north america,46-60
25,private,241626,9,single,child,white,male,0,0,30,<=50k,secondary-school graduate,service,north america,18-25
40,private,520586,10,divorced or separated,single,white,female,0,0,39,<=50k,some college,white collar,north america,36-45
24,unknown,35633,10,single,single,white,male,0,0,40,<=50k,some college,unknown,other,18-25
51,private,302847,9,married,male spouse,white,male,0,0,54,<=50k,secondary-school graduate,blue collar,north america,46-60
43,government,165309,9,married,male spouse,white,male,0,0,40,<=50k,secondary-school graduate,service,north america,36-45
34,private,117529,10,married,male spouse,white,male,0,0,54,<=50k,some college,blue collar,north america,26-35
46,private,106092,9,married,male spouse,white,male,0,0,45,>50k,secondary-school graduate,white collar,north america,46-60
28,government,445824,14,married,female spouse,white,female,0,0,50,>50k,tertiary,white collar,north america,26-35
26,private,227332,13,single,single,asian or pacific islander,male,0,0,40,<=50k,tertiary,blue collar,other,26-35
20,private,275691,9,single,child,white,male,0,0,28,<=50k,secondary-school graduate,blue collar,north america,18-25
44,private,193459,11,married,male spouse,white,male,3411,0,40,<=50k,associate,blue collar,north america,36-45
51,private,284329,9,widowed,single,white,male,0,0,40,<=50k,secondary-school graduate,blue collar,north america,46-60
33,private,114691,13,married,male spouse,white,male,0,0,60,>50k,tertiary,white collar,north america,26-35
54,private,96062,12,married,male spouse,white,male,0,0,40,>50k,associate,white collar,north america,46-60
50,private,133963,13,married,female spouse,white,female,0,1977,40,>50k,tertiary,white collar,north america,46-60
33,private,178506,9,divorced or separated,single,black,female,0,0,40,<=50k,secondary-school graduate,white collar,north america,26-35
65,private,350498,13,married,male spouse,white,male,10605,0,20,>50k,tertiary,white collar,north america,61-75
22,unknown,131573,10,single,child,white,female,0,0,8,<=50k,some college,unknown,north america,18-25
88,self-employed,206291,15,married,male spouse,white,male,0,0,40,<=50k,tertiary,white collar,north america,76+
40,private,182302,9,divorced or separated,single,white,male,0,0,40,<=50k,secondary-school graduate,blue collar,north america,36-45
51,private,241346,9,divorced or separated,single,white,female,0,0,43,<=50k,secondary-school graduate,white collar,north america,46-60
50,private,157043,7,divorced or separated,single,black,female,0,0,40,<=50k,secondary,service,north america,46-60
25,private,404616,14,married,single,white,male,0,0,99,>50k,tertiary,blue collar,north america,18-25
20,private,411862,11,single,single,white,male,0,0,30,<=50k,associate,service,north america,18-25
47,private,183013,9,married,male spouse,white,male,0,0,40,<=50k,secondary-school graduate,service,north america,46-60
58,unknown,169982,10,married,male spouse,white,male,0,0,40,>50k,some college,unknown,north america,46-60
22,private,188544,11,single,child,white,female,0,0,30,<=50k,associate,white collar,north america,18-25
50,government,356619,9,married,male spouse,white,male,0,0,48,>50k,secondary-school graduate,white collar,north america,46-60
47,private,45857,9,single,single,white,female,0,0,40,<=50k,secondary-school graduate,white collar,north america,46-60
24,government,289886,7,single,single,asian or pacific islander,male,0,0,45,<=50k,secondary,service,north america,18-25
50,unknown,146015,9,married,male spouse,white,male,0,0,40,>50k,secondary-school graduate,unknown,north america,46-60
40,private,216237,13,divorced or separated,single,white,female,0,0,45,>50k,tertiary,white collar,north america,36-45
36,private,416745,13,married,male spouse,white,male,0,0,40,<=50k,tertiary,white collar,north america,36-45
32,private,202952,9,married,male spouse,white,male,0,0,40,<=50k,secondary-school graduate,white collar,north america,26-35
44,private,167725,9,married,male spouse,white,male,0,0,40,<=50k,secondary-school graduate,blue collar,north america,36-45
51,unknown,165637,14,married,male spouse,white,male,0,0,40,<=50k,tertiary,unknown,north america,46-60
59,government,43280,10,single,child,black,female,0,0,40,<=50k,some college,white collar,north america,46-60
65,private,118779,9,married,male spouse,white,male,0,0,30,<=50k,secondary-school graduate,blue collar,north america,61-75
24,government,191269,13,single,single,white,female,0,0,65,<=50k,tertiary,white collar,north america,18-25
27,government,247507,13,single,child,white,male,0,0,35,<=50k,tertiary,white collar,north america,26-35
51,private,239155,11,divorced or separated,single,white,male,0,0,40,<=50k,associate,service,north america,46-60
48,private,182862,10,married,male spouse,white,male,0,0,40,>50k,some college,blue collar,north america,46-60
39,private,33886,9,married,male spouse,white,male,0,0,60,<=50k,secondary-school graduate,blue collar,north america,36-45
28,private,444304,13,married,male spouse,white,male,0,0,40,<=50k,tertiary,white collar,north america,26-35
19,private,187161,10,single,child,white,female,0,0,25,<=50k,some college,service,north america,18-25
49,government,116892,13,divorced or separated,single,black,female,0,0,40,<=50k,tertiary,white collar,north america,46-60
51,government,176813,12,married,male spouse,white,male,0,0,60,<=50k,associate,white collar,north america,46-60
59,private,151616,14,married,male spouse,white,male,0,0,55,<=50k,tertiary,white collar,north america,46-60
18,private,240747,9,single,child,white,female,0,0,40,<=50k,secondary-school graduate,blue collar,central america,<18
50,private,75472,9,married,male spouse,white,male,4386,0,40,<=50k,secondary-school graduate,blue collar,other,46-60
45,government,320818,9,married,male spouse,black,male,0,0,80,>50k,secondary-school graduate,white collar,north america,36-45
30,government,235271,13,married,male spouse,white,male,0,0,50,>50k,tertiary,white collar,north america,26-35
37,private,166497,13,divorced or separated,single,white,male,0,0,35,<=50k,tertiary,blue collar,north america,36-45
44,private,344060,13,single,single,white,male,0,0,40,>50k,tertiary,service,north america,36-45
33,private,221196,10,married,male spouse,black,male,0,0,40,<=50k,some college,blue collar,north america,26-35
61,self-employed,113544,14,married,male spouse,white,male,0,0,40,>50k,tertiary,white collar,north america,61-75
61,government,321117,9,married,male spouse,white,male,0,0,40,<=50k,secondary-school graduate,service,north america,61-75
38,private,79619,13,married,male spouse,white,male,0,0,42,>50k,tertiary,white collar,north america,36-45
22,unknown,42004,10,single,child,white,male,0,0,30,<=50k,some college,unknown,north america,18-25
36,private,135289,9,married,male spouse,white,male,0,0,45,<=50k,secondary-school graduate,blue collar,north america,36-45
44,self-employed,320984,10,married,male spouse,white,male,5178,0,60,>50k,some college,white collar,north america,36-45
37,private,203070,10,divorced or separated,child,white,male,0,0,62,<=50k,some college,white collar,north america,36-45
31,private,32406,10,divorced or separated,single,white,female,0,0,20,<=50k,some college,blue collar,north america,26-35
54,private,99185,16,married,male spouse,white,male,15024,0,45,>50k,tertiary,white collar,north america,46-60
20,private,205839,10,single,child,white,male,0,0,16,<=50k,some college,service,north america,18-25
63,unknown,150389,13,widowed,single,white,female,0,0,40,>50k,tertiary,unknown,north america,61-75
48,self-employed,243631,10,married,male spouse,american indian or eskimo,male,7688,0,40,>50k,some college,blue collar,north america,46-60
33,unknown,163003,9,divorced or separated,single,asian or pacific islander,female,0,0,41,<=50k,secondary-school graduate,unknown,asia,26-35
31,private,231263,13,divorced or separated,single,white,male,4650,0,45,<=50k,tertiary,white collar,north america,26-35
38,private,200818,15,married,male spouse,white,male,0,0,40,>50k,tertiary,white collar,north america,36-45
45,self-employed,247379,9,married,male spouse,white,male,0,0,40,>50k,secondary-school graduate,blue collar,north america,36-45
48,private,349151,9,married,male spouse,white,male,0,0,40,<=50k,secondary-school graduate,blue collar,north america,46-60
53,private,22154,10,married,male spouse,white,male,0,0,40,<=50k,some college,blue collar,north america,46-60
55,private,176317,9,widowed,child,white,female,0,0,40,<=50k,secondary-school graduate,white collar,north america,46-60
38,private,22245,14,married,male spouse,white,male,0,0,72,>50k,tertiary,blue collar,other,36-45
29,private,236436,9,single,single,white,female,0,0,40,<=50k,secondary-school graduate,white collar,north america,26-35
36,private,354078,13,married,male spouse,white,male,0,0,60,>50k,tertiary,white collar,north america,36-45
42,self-employed,166813,10,married,male spouse,white,male,0,0,60,<=50k,some college,blue collar,north america,36-45
50,private,358740,9,divorced or separated,single,white,female,0,0,40,<=50k,secondary-school graduate,white collar,europe,46-60
75,self-employed,208426,15,married,male spouse,white,male,0,0,35,<=50k,tertiary,white collar,north america,61-75
46,private,265266,13,married,male spouse,white,male,0,1902,40,>50k,tertiary,white collar,north america,46-60
52,government,31838,9,divorced or separated,single,white,female,0,0,40,<=50k,secondary-school graduate,white collar,north america,46-60
27,private,175034,13,single,single,white,female,0,0,40,<=50k,tertiary,white collar,north america,26-35
43,private,413297,9,married,male spouse,white,male,0,0,45,<=50k,secondary-school graduate,blue collar,north america,36-45
31,private,106347,7,divorced or separated,single,black,female,0,0,42,<=50k,secondary,service,north america,26-35
23,private,174754,10,single,single,white,female,0,0,30,<=50k,some college,white collar,north america,18-25
34,private,441454,9,single,single,white,female,0,0,24,<=50k,secondary-school graduate,white collar,north america,26-35
41,self-employed,209344,9,married,extended relative,white,female,0,0,40,<=50k,secondary-school graduate,white collar,central america,36-45
31,private,185732,9,single,child,white,female,0,0,30,<=50k,secondary-school graduate,service,north america,26-35
42,private,65372,10,single,child,white,female,0,0,40,<=50k,some college,white collar,north america,36-45
35,private,33975,14,single,single,white,male,0,0,45,>50k,tertiary,white collar,north america,26-35
55,private,326297,9,divorced or separated,single,white,female,0,0,25,<=50k,secondary-school graduate,white collar,north america,46-60
36,government,194630,9,widowed,single,white,female,0,0,40,<=50k,secondary-school graduate,white collar,north america,36-45
65,self-employed,167414,9,married,male spouse,white,male,0,0,59,>50k,secondary-school graduate,white collar,north america,61-75
38,government,165799,10,single,single,white,male,0,0,12,<=50k,some college,service,north america,36-45
62,private,192866,10,widowed,single,white,female,0,0,20,<=50k,some college,service,north america,61-75
54,self-employed,166459,15,married,male spouse,white,male,99999,0,60,>50k,tertiary,white collar,north america,46-60
49,private,148995,9,divorced or separated,single,white,male,0,0,40,<=50k,secondary-school graduate,white collar,north america,46-60
34,private,190040,9,married,female spouse,white,female,0,0,40,<=50k,secondary-school graduate,white collar,north america,26-35
32,private,209432,9,single,child,white,female,0,0,40,<=50k,secondary-school graduate,blue collar,north america,26-35
51,self-employed,229465,14,married,male spouse,white,male,15024,0,50,>50k,tertiary,white collar,north america,46-60
48,self-employed,397466,10,married,male spouse,white,male,0,0,60,<=50k,some college,white collar,north america,46-60
30,private,283767,9,married,male spouse,white,male,0,0,40,<=50k,secondary-school graduate,white collar,other,26-35
52,government,202452,9,divorced or separated,single,white,female,0,0,43,<=50k,secondary-school graduate,white collar,north america,46-60
28,self-employed,218555,10,single,single,white,male,0,1762,40,<=50k,some college,blue collar,north america,26-35
29,private,128604,9,married,male spouse,asian or pacific islander,male,0,0,40,<=50k,secondary-school graduate,blue collar,north america,26-35
38,private,65466,13,single,single,white,female,0,0,50,<=50k,tertiary,white collar,north america,36-45
57,private,141326,9,married,male spouse,white,male,0,0,50,>50k,secondary-school graduate,white collar,north america,46-60
43,government,369468,13,married,male spouse,white,male,0,0,40,>50k,tertiary,white collar,north america,36-45
37,government,136137,10,divorced or separated,single,white,male,0,0,40,<=50k,some college,white collar,north america,36-45
30,private,236770,9,married,male spouse,white,male,0,0,40,<=50k,secondary-school graduate,blue collar,north america,26-35
53,private,89534,9,married,male spouse,white,male,0,0,48,>50k,secondary-school graduate,blue collar,north america,46-60
69,unknown,195779,11,widowed,single,white,female,0,0,1,<=50k,associate,unknown,north america,61-75
73,private,29778,9,widowed,single,white,female,0,0,37,<=50k,secondary-school graduate,service,north america,61-75
22,self-employed,153516,10,single,child,white,male,0,0,35,<=50k,some college,blue collar,north america,18-25
31,private,163594,9,single,single,white,female,0,0,45,<=50k,secondary-school graduate,white collar,north america,26-35
38,private,189623,13,married,male spouse,white,male,0,1887,40,>50k,tertiary,white collar,north america,36-45
50,self-employed,343748,10,married,male spouse,white,male,0,0,35,<=50k,some college,blue collar,north america,46-60
37,private,387430,10,married,male spouse,white,male,0,0,37,<=50k,some college,white collar,north america,36-45
44,government,409505,13,divorced or separated,single,white,male,0,0,40,<=50k,tertiary,service,north america,36-45
47,private,200734,13,single,single,black,female,0,0,45,<=50k,tertiary,white collar,north america,46-60
27,private,115831,10,married,male spouse,white,male,0,0,40,<=50k,some college,service,north america,26-35
28,private,150296,12,single,single,white,female,0,0,80,<=50k,associate,service,north america,26-35
25,private,323545,9,single,single,black,female,0,0,40,<=50k,secondary-school graduate,white collar,north america,18-25
20,private,232577,10,single,single,white,female,0,0,40,<=50k,some college,service,north america,18-25
51,government,152754,13,married,male spouse,white,male,0,0,40,>50k,tertiary,white collar,north america,46-60
46,private,129007,13,married,male spouse,white,male,0,1977,40,>50k,tertiary,white collar,north america,46-60
67,private,171584,13,married,male spouse,white,male,6514,0,7,>50k,tertiary,service,north america,61-75
47,private,386136,9,married,male spouse,white,male,0,0,35,<=50k,secondary-school graduate,blue collar,north america,46-60
42,private,342865,9,married,male spouse,white,male,0,0,40,<=50k,secondary-school graduate,white collar,north america,36-45
52,private,186785,9,single,single,white,male,0,1876,50,<=50k,secondary-school graduate,white collar,north america,46-60
42,government,158926,12,divorced or separated,single,asian or pacific islander,female,0,0,40,>50k,associate,white collar,asia,36-45
65,unknown,36039,9,married,male spouse,white,male,0,0,40,>50k,secondary-school graduate,unknown,north america,61-75
21,private,164019,10,single,child,black,male,0,0,10,<=50k,some college,blue collar,north america,18-25
50,private,88926,9,married,female spouse,white,female,5178,0,40,>50k,secondary-school graduate,white collar,north america,46-60
46,private,188861,10,married,male spouse,white,male,0,0,40,<=50k,some college,blue collar,north america,46-60
47,self-employed,370119,13,married,male spouse,white,male,15024,0,50,>50k,tertiary,white collar,north america,46-60
57,private,182062,6,married,male spouse,white,male,0,0,40,<=50k,secondary,service,north america,46-60
37,private,37238,13,single,single,white,male,0,0,45,<=50k,tertiary,white collar,north america,36-45
50,private,421132,9,married,male spouse,white,male,0,0,40,<=50k,secondary-school graduate,blue collar,north america,46-60
58,unknown,178660,8,married,male spouse,white,male,0,0,40,<=50k,secondary,unknown,north america,46-60
63,self-employed,795830,2,widowed,single,white,female,0,0,30,<=50k,primary,service,central america,61-75
39,private,278403,9,married,male spouse,white,male,0,0,65,<=50k,secondary-school graduate,blue collar,north america,36-45
46,private,279661,14,married,male spouse,black,male,0,0,35,<=50k,tertiary,white collar,north america,46-60
36,private,113397,9,married,male spouse,white,male,0,0,40,<=50k,secondary-school graduate,blue collar,north america,36-45
26,private,280093,3,married,male spouse,white,male,0,1628,50,<=50k,primary,blue collar,north america,26-35
21,private,236696,10,single,single,white,male,0,0,57,<=50k,some college,service,north america,18-25
41,private,265266,12,married,male spouse,white,male,0,0,40,<=50k,associate,white collar,north america,36-45
44,government,34935,10,single,child,black,male,0,0,40,<=50k,some college,service,north america,36-45
22,private,58222,9,married,male spouse,white,male,0,0,40,<=50k,secondary-school graduate,blue collar,north america,18-25
29,government,301010,10,single,single,black,male,0,0,60,<=50k,some college,military,north america,26-35
29,private,419721,9,single,single,black,female,0,0,40,<=50k,secondary-school graduate,service,asia,26-35
58,self-employed,186791,10,married,female spouse,white,female,0,0,40,>50k,some college,blue collar,north america,46-60
36,self-employed,180686,15,married,male spouse,white,male,0,0,50,<=50k,tertiary,white collar,north america,36-45
30,private,209103,11,married,male spouse,white,male,0,0,48,<=50k,associate,white collar,north america,26-35
37,private,32668,13,married,male spouse,white,male,0,0,43,>50k,tertiary,blue collar,north america,36-45
29,private,256956,11,single,single,white,male,0,0,40,<=50k,associate,blue collar,north america,26-35
26,private,202203,3,single,child,white,female,0,0,40,<=50k,primary,white collar,north america,26-35
43,private,85995,9,married,male spouse,white,male,0,0,45,<=50k,secondary-school graduate,white collar,north america,36-45
49,private,125421,9,married,female spouse,white,female,0,0,40,>50k,secondary-school graduate,blue collar,north america,46-60
45,government,283037,13,married,male spouse,white,male,0,0,40,<=50k,tertiary,white collar,north america,36-45
28,private,192932,13,single,single,white,female,0,0,40,<=50k,tertiary,white collar,north america,26-35
20,unknown,244689,10,single,single,white,female,0,0,25,<=50k,some college,unknown,north america,18-25
51,private,179646,9,divorced or separated,single,white,female,0,0,40,<=50k,secondary-school graduate,white collar,north america,46-60
